result,table,_start,_stop,_time,_field,_measurement,defrost_wp,hp_current_flow_rate,kamin_an,ml_vorlauftemperatur,nibe_bt1_outdoor_temperature,nibe_bt2_supply_temp_s1,nibe_eb100_ep14_bt3_return_temp,nibe_el_leistung,pv_leistung_gefiltert,rt_mittelwert,rt_wz,tv_an,warmwassermodus
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 08:55:00+00:00,value,sensor,0.0,12.2,0.0,28.0,-7.2,31.65,27.0,771.5,2038.0,22.59,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:00:00+00:00,value,sensor,0.0,12.2,0.0,27.33,-7.0,30.93,27.0,779.67,2121.6,22.61,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:05:00+00:00,value,sensor,0.0,12.2,0.0,27.17,-6.73,30.4,27.0,778.0,2204.4,22.64,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:10:00+00:00,value,sensor,0.0,12.2,0.0,26.6,-6.65,30.3,27.0,777.0,2303.0,22.65,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:15:00+00:00,value,sensor,0.0,12.2,0.0,26.63,-6.5,30.2,27.0,775.33,2386.2,22.67,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:20:00+00:00,value,sensor,0.0,12.2,0.0,26.77,-6.37,30.0,26.93,773.0,2452.1,22.69,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:25:00+00:00,value,sensor,0.0,12.2,0.0,26.8,-6.2,27.05,26.9,590.5,2503.1,22.71,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:30:00+00:00,value,sensor,0.0,12.2,0.0,26.8,-5.73,24.53,26.9,1251.0,2557.4,22.71,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:35:00+00:00,value,sensor,0.0,12.2,0.0,26.8,-5.2,22.55,26.8,1470.5,2638.1,22.73,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:40:00+00:00,value,sensor,0.0,12.2,0.0,26.8,-4.9,22.33,26.67,1687.33,2685.9,22.74,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:45:00+00:00,value,sensor,0.0,12.2,0.0,26.8,-4.9,25.7,26.47,1066.33,2709.8,22.76,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:50:00+00:00,value,sensor,0.0,12.2,0.0,26.4,-5.15,27.2,26.35,775.5,2775.4,22.76,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 09:55:00+00:00,value,sensor,0.0,12.2,0.0,25.9,-5.2,28.0,26.3,771.0,2817.7,22.77,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 10:00:00+00:00,value,sensor,0.0,12.2,0.0,25.8,-5.2,28.6,26.3,769.67,2842.0,22.78,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 10:05:00+00:00,value,sensor,0.0,12.2,0.0,25.7,-5.2,28.95,26.3,772.0,2885.0,22.78,23.3,1.0,0.0
_result,0,2026-01-22 08:47:51.207102+00:00,2026-04-07 08:47:51.207102+00:00,2026-01-22 10:10:00+00:00,value,sensor,0.0,12.2,0.0,25.7,-5.13,29.3,26.3,775.0,2934.0,22.78,23.3,1.0,0.0
